Pupil Name,Date of Birth,This Year's Birthday,Month,Cake Needed On,BDs per Weekday and Month
Lucina Gouley,2/16/2014,2/16/2022,February,Wednesday,8
Milka Fosbraey,10/30/2011,10/30/2022,October,Friday,32
Iseabal Aldwinckle,3/8/2013,3/8/2022,March,Tuesday,13
Colet Featherstonehaugh,7/7/2012,7/7/2022,July,Thursday,12
Jewelle Skaif,1/19/2015,1/19/2022,January,Wednesday,14
Brose Plumridge,12/30/2012,12/30/2022,December,Friday,45
Dotty Oldknow,12/22/2013,12/22/2022,December,Thursday,20
Stacy Conneely,10/13/2013,10/13/2022,October,Thursday,14
Iona Ballister,6/20/2014,6/20/2022,June,Monday,9
Windy Curgenuer,10/28/2013,10/28/2022,October,Friday,32
Kienan Echalie,12/19/2014,12/19/2022,December,Monday,20
Nollie Curley,11/29/2013,11/29/2022,November,Tuesday,12
Joelle McGrory,6/23/2012,6/23/2022,June,Thursday,12
Pooh Schmidt,6/5/2012,6/5/2022,June,Friday,30
Coral Phelipeaux,1/4/2012,1/4/2022,January,Tuesday,12
Gifford McKeachie,11/21/2014,11/21/2022,November,Monday,11
Orelee Videan,10/5/2013,10/5/2022,October,Wednesday,13
Toiboid Scamerden,11/5/2013,11/5/2022,November,Friday,39
Shirline Longstaff,7/13/2013,7/13/2022,July,Wednesday,19
Hurley D'Alessandro,1/16/2014,1/16/2022,January,Friday,33
Orelia Di Domenico,11/7/2014,11/7/2022,November,Monday,11
Glynda O'Corrin,2/14/2013,2/14/2022,February,Monday,12
Bailie Caraher,10/5/2013,10/5/2022,October,Wednesday,13
Elizabeth Pattenden,6/7/2013,6/7/2022,June,Tuesday,11
Florian Lardnar,8/4/2014,8/4/2022,August,Thursday,10
Chantal Caherny,11/20/2012,11/20/2022,November,Friday,39
Sasha McMenamin,4/23/2012,4/23/2022,April,Friday,55
Ivar Verbeek,12/26/2011,12/26/2022,December,Monday,20
Jamaal Challicombe,4/2/2013,4/2/2022,April,Friday,55
Cello Milnes,3/8/2013,3/8/2022,March,Tuesday,13
Leese Leinster,11/5/2012,11/5/2022,November,Friday,39
Aleece Bernardet,1/9/2015,1/9/2022,January,Friday,33
Archibaldo Penwell,7/15/2012,7/15/2022,July,Friday,49
Berkly Dodding,10/14/2014,10/14/2022,October,Friday,32
Ynez Stive,5/18/2015,5/18/2022,May,Wednesday,8
Francene Ebbin,9/16/2012,9/16/2022,September,Friday,36
Ilise Bowring,11/12/2011,11/12/2022,November,Friday,39
Clo Knoton,4/25/2014,4/25/2022,April,Monday,10
Guthrie Valti,5/6/2014,5/6/2022,May,Friday,31
Stacey Whartonby,2/5/2013,2/5/2022,February,Friday,31
Ernesta Siggers,7/4/2015,7/4/2022,July,Monday,11
Denice Espinet,5/5/2013,5/5/2022,May,Thursday,12
Antin Luesley,4/17/2012,4/17/2022,April,Friday,55
Alon Brash,9/23/2011,9/23/2022,September,Friday,36
Harlen Penke,8/4/2014,8/4/2022,August,Thursday,10
Pyotr Anten,1/6/2012,1/6/2022,January,Thursday,6
Sean Skelton,10/3/2011,10/3/2022,October,Monday,14
Cary Johanssen,7/19/2013,7/19/2022,July,Tuesday,12
Yuri Keywood,11/10/2013,11/10/2022,November,Thursday,13
Ronnie Narducci,2/1/2015,2/1/2022,February,Tuesday,13
Chucho Longmore,4/15/2013,4/15/2022,April,Friday,55
Caleb Kupka,3/15/2014,3/15/2022,March,Tuesday,13
Robbin Harmant,1/10/2015,1/10/2022,January,Monday,14
Gaylor Shotboult,2/3/2014,2/3/2022,February,Thursday,12
Lamont Tolefree,8/17/2012,8/17/2022,August,Wednesday,10
Wood Upjohn,6/7/2012,6/7/2022,June,Tuesday,11
Brady Seeds,8/15/2012,8/15/2022,August,Monday,12
Selma Litherborough,3/20/2014,3/20/2022,March,Friday,31
Carly Peasee,7/5/2014,7/5/2022,July,Tuesday,12
Rose Artinstall,5/29/2014,5/29/2022,May,Friday,31
Hi Oleksiak,6/6/2013,6/6/2022,June,Monday,9
Berti Smardon,3/26/2014,3/26/2022,March,Friday,31
Lorraine Halbard,7/20/2013,7/20/2022,July,Wednesday,19
Aldis Sherewood,8/21/2013,8/21/2022,August,Friday,24
Rabbi McGourty,6/16/2013,6/16/2022,June,Thursday,12
Julietta Layson,5/20/2014,5/20/2022,May,Friday,31
Graehme Ditch,4/7/2015,4/7/2022,April,Thursday,11
Benetta Zanussii,7/30/2012,7/30/2022,July,Friday,49
Pandora Seelbach,5/20/2014,5/20/2022,May,Friday,31
Hatty Crotty,9/22/2013,9/22/2022,September,Thursday,14
Tessa Pogue,6/23/2015,6/23/2022,June,Thursday,12
Grantley Doogan,7/2/2014,7/2/2022,July,Friday,49
Sunny Lanning,12/28/2014,12/28/2022,December,Wednesday,9
L;urette Applegarth,9/10/2012,9/10/2022,September,Friday,36
Wendy Oscroft,1/3/2015,1/3/2022,January,Monday,14
Ev Baldack,4/23/2015,4/23/2022,April,Friday,55
Jania Pesek,4/8/2012,4/8/2022,April,Friday,55
Kelley Shenton,12/31/2012,12/31/2022,December,Friday,45
Doralynne Sekulla,3/14/2015,3/14/2022,March,Monday,8
Price Harrald,3/30/2013,3/30/2022,March,Wednesday,6
Allen Welburn,11/5/2014,11/5/2022,November,Friday,39
Merwin Doag,4/29/2015,4/29/2022,April,Friday,55
Jeannette Symonds,10/23/2012,10/23/2022,October,Friday,32
Valaree Heckner,4/30/2012,4/30/2022,April,Friday,55
Gussie Palmar,5/21/2014,5/21/2022,May,Friday,31
Yehudi Beggan,10/19/2013,10/19/2022,October,Wednesday,13
Drusilla Tuson,10/14/2014,10/14/2022,October,Friday,32
Alanah Dowtry,8/25/2014,8/25/2022,August,Thursday,10
Kathlin Cobleigh,2/26/2015,2/26/2022,February,Friday,31
Layne Curston,12/29/2013,12/29/2022,December,Thursday,20
Idell Shropshire,5/2/2015,5/2/2022,May,Monday,7
Kimbra Whelan,10/25/2013,10/25/2022,October,Tuesday,9
Nadean Godsell,2/27/2013,2/27/2022,February,Friday,31
Katinka Liger,1/25/2013,1/25/2022,January,Tuesday,12
Fallon Kettles,6/24/2013,6/24/2022,June,Friday,30
Tally Powland,7/2/2015,7/2/2022,July,Friday,49
Nolan Jerosch,10/31/2014,10/31/2022,October,Monday,14
Viva Yukhnini,12/4/2011,12/4/2022,December,Friday,45
Nevile Jurewicz,3/25/2014,3/25/2022,March,Friday,31
Brand Kaes,3/24/2014,3/24/2022,March,Thursday,19
Celine De la Yglesia,1/13/2012,1/13/2022,January,Thursday,6
Adrian Snary,7/22/2013,7/22/2022,July,Friday,49
Anny Casterot,1/26/2015,1/26/2022,January,Wednesday,14
Jacques Cosins,2/1/2012,2/1/2022,February,Tuesday,13
Lauretta Greenhalf,9/8/2013,9/8/2022,September,Thursday,14
Ettie Condie,10/23/2012,10/23/2022,October,Friday,32
Tailor Fellows,7/26/2012,7/26/2022,July,Tuesday,12
Iago Szimon,8/31/2014,8/31/2022,August,Wednesday,10
Howard Kittow,4/9/2014,4/9/2022,April,Friday,55
Smith Okenden,12/31/2012,12/31/2022,December,Friday,45
West Kibby,11/20/2013,11/20/2022,November,Friday,39
Perren Randalston,9/3/2013,9/3/2022,September,Friday,36
Garnette Chiese,3/28/2014,3/28/2022,March,Monday,8
Mace Huntingdon,5/17/2012,5/17/2022,May,Tuesday,15
Konstantine Parysowna,6/1/2015,6/1/2022,June,Wednesday,15
Cristina Oseman,3/28/2012,3/28/2022,March,Monday,8
Finley McClements,8/18/2013,8/18/2022,August,Thursday,10
Vic Barends,9/24/2014,9/24/2022,September,Friday,36
Bartholomew Coyle,10/14/2011,10/14/2022,October,Friday,32
Krystal Dunlea,5/29/2012,5/29/2022,May,Friday,31
Mireielle Lundy,7/19/2014,7/19/2022,July,Tuesday,12
Sharla Almond,11/16/2011,11/16/2022,November,Wednesday,17
Sibeal Templeton,7/22/2012,7/22/2022,July,Friday,49
Pearce Clayworth,3/19/2012,3/19/2022,March,Friday,31
Sheelah Greder,11/29/2012,11/29/2022,November,Tuesday,12
Joly Wybrow,1/8/2015,1/8/2022,January,Friday,33
Bondon Antonazzi,2/9/2012,2/9/2022,February,Wednesday,8
Gwen Biglin,1/18/2012,1/18/2022,January,Tuesday,12
Kip Blowen,7/19/2015,7/19/2022,July,Tuesday,12
Moises Orrocks,11/30/2012,11/30/2022,November,Wednesday,17
Norbie Shoveller,12/18/2012,12/18/2022,December,Friday,45
Matty Piperley,6/14/2014,6/14/2022,June,Tuesday,11
Wileen Scamadine,2/15/2015,2/15/2022,February,Tuesday,13
Armstrong Batiste,4/15/2012,4/15/2022,April,Friday,55
Daisey Blanning,11/27/2012,11/27/2022,November,Friday,39
Jammal Ouchterlony,2/24/2015,2/24/2022,February,Thursday,12
Cynthea Whittier,11/4/2014,11/4/2022,November,Friday,39
Templeton Reynard,12/19/2014,12/19/2022,December,Monday,20
Baron Sarre,12/30/2014,12/30/2022,December,Friday,45
Rex Adds,12/26/2014,12/26/2022,December,Monday,20
Oberon Pollie,9/22/2011,9/22/2022,September,Thursday,14
Dorita Messitt,3/17/2015,3/17/2022,March,Thursday,19
Floria Kitlee,7/6/2012,7/6/2022,July,Wednesday,19
James Bartles,1/12/2012,1/12/2022,January,Wednesday,14
Jay Yashaev,1/31/2013,1/31/2022,January,Monday,14
Leshia Sanderson,9/27/2013,9/27/2022,September,Tuesday,12
Tiffy Glanz,6/15/2015,6/15/2022,June,Wednesday,15
Kizzie Dod,10/5/2014,10/5/2022,October,Wednesday,13
Madlen Lethardy,3/18/2014,3/18/2022,March,Friday,31
Estella Brende,2/16/2014,2/16/2022,February,Wednesday,8
Grover Barstock,8/15/2013,8/15/2022,August,Monday,12
Amalee Marquiss,12/15/2011,12/15/2022,December,Thursday,20
Megan Blyth,4/22/2012,4/22/2022,April,Friday,55
Willette Fibbit,12/2/2013,12/2/2022,December,Friday,45
Calida Dymond,8/11/2015,8/11/2022,August,Thursday,10
Aharon Ricardin,3/2/2013,3/2/2022,March,Wednesday,6
Maurits Petyanin,12/25/2013,12/25/2022,December,Friday,45
Ermanno Polglaze,8/24/2013,8/24/2022,August,Wednesday,10
Ancell Borrel,4/24/2012,4/24/2022,April,Friday,55
Keven Latchford,9/5/2013,9/5/2022,September,Monday,7
Rona Hammill,10/25/2011,10/25/2022,October,Tuesday,9
Evita Sirett,3/13/2014,3/13/2022,March,Friday,31
Lorry Sarle,5/29/2015,5/29/2022,May,Friday,31
Kate Fannon,2/27/2014,2/27/2022,February,Friday,31
Paulina Vale,11/23/2014,11/23/2022,November,Wednesday,17
Earl Kelleway,11/6/2013,11/6/2022,November,Friday,39
Culver Daburn,5/11/2014,5/11/2022,May,Wednesday,8
Antonie Worcester,2/15/2015,2/15/2022,February,Tuesday,13
Magda Cullrford,2/4/2012,2/4/2022,February,Friday,31
Jeremiah Diack,4/27/2012,4/27/2022,April,Wednesday,12
Lynett Dibdin,6/8/2012,6/8/2022,June,Wednesday,15
Trace Neenan,9/20/2011,9/20/2022,September,Tuesday,12
Miran Gowans,1/8/2015,1/8/2022,January,Friday,33
Orsa Orrey,7/30/2015,7/30/2022,July,Friday,49
Gillie Bermingham,6/23/2014,6/23/2022,June,Thursday,12
Mikaela Madgwick,12/5/2012,12/5/2022,December,Monday,20
Maximo Greenin,4/7/2013,4/7/2022,April,Thursday,11
Daron Fellis,5/11/2013,5/11/2022,May,Wednesday,8
Dorothea Haselwood,4/23/2014,4/23/2022,April,Friday,55
Pernell Howgego,11/25/2013,11/25/2022,November,Friday,39
Jaimie Bebbell,3/22/2013,3/22/2022,March,Tuesday,13
Rici Dohms,4/9/2013,4/9/2022,April,Friday,55
Oralla Braffington,9/1/2011,9/1/2022,September,Thursday,14
Elisa Whiteley,9/5/2014,9/5/2022,September,Monday,7
Emalia Kynson,5/15/2015,5/15/2022,May,Friday,31
Kakalina Standbrook,7/23/2012,7/23/2022,July,Friday,49
Billy Dionis,12/12/2013,12/12/2022,December,Monday,20
Kit Fishbourn,4/1/2014,4/1/2022,April,Friday,55
Sayer Romain,4/11/2014,4/11/2022,April,Monday,10
Welby Dymott,4/15/2012,4/15/2022,April,Friday,55
Darci Brozsset,12/31/2012,12/31/2022,December,Friday,45
Emelyne Pierro,8/14/2012,8/14/2022,August,Friday,24
Afton Ninotti,12/16/2013,12/16/2022,December,Friday,45
Sofie Duinbleton,8/28/2015,8/28/2022,August,Friday,24
Franciskus Brittles,1/25/2013,1/25/2022,January,Tuesday,12
Darline Glandon,9/11/2013,9/11/2022,September,Friday,36
Adara Beringer,9/1/2011,9/1/2022,September,Thursday,14
Maddie Kennard,4/15/2015,4/15/2022,April,Friday,55
Bobbe Rangall,1/22/2015,1/22/2022,January,Friday,33
Osgood Darnborough,7/20/2013,7/20/2022,July,Wednesday,19
Cory Shackle,7/31/2012,7/31/2022,July,Friday,49
Denna Bulluck,10/20/2011,10/20/2022,October,Thursday,14
Jocelin Slora,9/11/2012,9/11/2022,September,Friday,36
Woodman Cockman,12/9/2012,12/9/2022,December,Friday,45
Wain Jime,12/20/2011,12/20/2022,December,Tuesday,8
Twila Bradmore,10/1/2014,10/1/2022,October,Friday,32
Marcus Lemery,11/26/2012,11/26/2022,November,Friday,39
Alia Whayman,7/6/2015,7/6/2022,July,Wednesday,19
Maximilien Shipcott,10/20/2014,10/20/2022,October,Thursday,14
Robina Exroll,6/1/2015,6/1/2022,June,Wednesday,15
Walt De Ferraris,3/31/2012,3/31/2022,March,Thursday,19
Alf Stiff,10/4/2014,10/4/2022,October,Tuesday,9
Vernon Yateman,2/12/2012,2/12/2022,February,Friday,31
Von Kearton,6/23/2015,6/23/2022,June,Thursday,12
Dacie Hunnam,5/16/2014,5/16/2022,May,Monday,7
Silvie Lepere,2/24/2012,2/24/2022,February,Thursday,12
Thorpe Trudgion,7/8/2015,7/8/2022,July,Friday,49
Lucais Hyrons,11/11/2013,11/11/2022,November,Friday,39
Matthieu Hoyer,9/4/2012,9/4/2022,September,Friday,36
Reine Djorvic,12/8/2013,12/8/2022,December,Thursday,20
Saree Farquhar,3/28/2013,3/28/2022,March,Monday,8
Sallyann Tawse,7/10/2014,7/10/2022,July,Friday,49
Victor Stonham,1/25/2013,1/25/2022,January,Tuesday,12
Corella Thumnel,5/14/2015,5/14/2022,May,Friday,31
Andy Philipard,6/12/2015,6/12/2022,June,Friday,30
Idette Bande,5/4/2014,5/4/2022,May,Wednesday,8
Allyn Wheldon,12/21/2014,12/21/2022,December,Wednesday,9
Leslie Rontree,7/17/2013,7/17/2022,July,Friday,49
Bibbie Bortolomei,11/14/2012,11/14/2022,November,Monday,11
Bartolemo Cleave,2/12/2013,2/12/2022,February,Friday,31
Korry Leirmonth,2/10/2012,2/10/2022,February,Thursday,12
Aridatha Bonicelli,11/3/2011,11/3/2022,November,Thursday,13
Twila Grinley,12/3/2013,12/3/2022,December,Friday,45
Lettie Pennyman,7/19/2012,7/19/2022,July,Tuesday,12
Blake MacIlhargy,8/21/2014,8/21/2022,August,Friday,24
Daniele McCloy,7/11/2013,7/11/2022,July,Monday,11
Felizio Weinmann,11/29/2011,11/29/2022,November,Tuesday,12
Ilsa Tettley,9/11/2013,9/11/2022,September,Friday,36
Ardyce Meriton,7/23/2012,7/23/2022,July,Friday,49
Shandee Scard,11/21/2014,11/21/2022,November,Monday,11
Cristionna Hegden,7/3/2015,7/3/2022,July,Friday,49
Mignonne Dumsday,5/29/2015,5/29/2022,May,Friday,31
Raynell Behneke,12/24/2014,12/24/2022,December,Friday,45
Adina Gawthorpe,2/15/2013,2/15/2022,February,Tuesday,13
Sheff De Andreis,10/12/2013,10/12/2022,October,Wednesday,13
Mab Canepe,12/11/2011,12/11/2022,December,Friday,45
Dynah Petrillo,8/16/2013,8/16/2022,August,Tuesday,15
Leroi Crumpe,5/6/2012,5/6/2022,May,Friday,31
Lynnett Gierardi,12/13/2013,12/13/2022,December,Tuesday,8
Winny Scoggans,3/29/2012,3/29/2022,March,Tuesday,13
Shirlene Palluschek,6/10/2012,6/10/2022,June,Friday,30
Zarah Symington,1/1/2012,1/1/2022,January,Friday,33
Bernete Westoff,10/2/2014,10/2/2022,October,Friday,32
Marlowe Daniell,3/3/2014,3/3/2022,March,Thursday,19
Berkly Stanett,3/27/2015,3/27/2022,March,Friday,31
Dominga Peat,2/15/2014,2/15/2022,February,Tuesday,13
Karlotte Vaudre,10/3/2011,10/3/2022,October,Monday,14
Carmelina Ashbridge,9/8/2012,9/8/2022,September,Thursday,14
Ricardo Barmby,11/20/2014,11/20/2022,November,Friday,39
Alyson Lindsell,7/6/2012,7/6/2022,July,Wednesday,19
Valentine McPherson,3/4/2012,3/4/2022,March,Friday,31
Analiese Bliven,11/7/2013,11/7/2022,November,Monday,11
Nathanial Matczak,8/27/2013,8/27/2022,August,Friday,24
Lanny Alyukin,11/10/2012,11/10/2022,November,Thursday,13
Emmott Barnaby,11/5/2014,11/5/2022,November,Friday,39
Trudey Skarman,6/5/2014,6/5/2022,June,Friday,30
Daloris Skillicorn,12/9/2013,12/9/2022,December,Friday,45
Ranna Eagland,8/29/2013,8/29/2022,August,Monday,12
Amitie McGairl,2/12/2015,2/12/2022,February,Friday,31
Karissa Dickon,12/3/2012,12/3/2022,December,Friday,45
Laural Hexum,9/6/2012,9/6/2022,September,Tuesday,12
Quinlan Franckton,12/26/2014,12/26/2022,December,Monday,20
Anissa Semerad,1/10/2013,1/10/2022,January,Monday,14
Aland Ashlee,7/13/2012,7/13/2022,July,Wednesday,19
Chickie Asch,12/12/2012,12/12/2022,December,Monday,20
Linda Haberjam,10/6/2011,10/6/2022,October,Thursday,14
Ad Falco,7/17/2013,7/17/2022,July,Friday,49
Care Reihill,5/3/2013,5/3/2022,May,Tuesday,15
Odelia Bayston,12/19/2011,12/19/2022,December,Monday,20
Tedi Nekrews,3/3/2013,3/3/2022,March,Thursday,19
Adore Rowan,4/30/2012,4/30/2022,April,Friday,55
Thorn Blencowe,2/19/2014,2/19/2022,February,Friday,31
Prudy Duetsche,8/1/2015,8/1/2022,August,Monday,12
Ariana Shearmer,4/20/2015,4/20/2022,April,Wednesday,12
Karoline Gash,6/6/2012,6/6/2022,June,Monday,9
Liam Sings,12/15/2012,12/15/2022,December,Thursday,20
Denise Huckleby,10/1/2012,10/1/2022,October,Friday,32
Truda Welband,1/4/2014,1/4/2022,January,Tuesday,12
Kelcey Dragonette,6/23/2012,6/23/2022,June,Thursday,12
Bridgette Hachard,5/21/2012,5/21/2022,May,Friday,31
Joy Brobeck,3/10/2013,3/10/2022,March,Thursday,19
Kimbra Yuille,3/13/2013,3/13/2022,March,Friday,31
Harold Dunckley,1/17/2014,1/17/2022,January,Monday,14
Tabbie Edgar,10/2/2011,10/2/2022,October,Friday,32
Nataniel Capinetti,8/23/2012,8/23/2022,August,Tuesday,15
Aldus Lindro,10/21/2011,10/21/2022,October,Friday,32
Shaylah Bottle,7/6/2014,7/6/2022,July,Wednesday,19
Pammie Maxweell,11/11/2013,11/11/2022,November,Friday,39
Ericka Ebourne,2/28/2012,2/28/2022,February,Monday,12
Trstram Macci,4/16/2013,4/16/2022,April,Friday,55
Malory Jonk,4/10/2012,4/10/2022,April,Friday,55
Jammal Reubens,5/28/2012,5/28/2022,May,Friday,31
Ramsay Wither,6/14/2012,6/14/2022,June,Tuesday,11
Yoshiko Dies,3/11/2013,3/11/2022,March,Friday,31
Nicky Rawes,2/13/2012,2/13/2022,February,Friday,31
Bourke Upson,10/10/2011,10/10/2022,October,Monday,14
Bernetta Barkaway,1/23/2013,1/23/2022,January,Friday,33
Cynthie Marthen,8/26/2014,8/26/2022,August,Friday,24
Patricio Meakin,11/17/2012,11/17/2022,November,Thursday,13
Ivonne World,10/6/2011,10/6/2022,October,Thursday,14
Joey McJury,3/24/2012,3/24/2022,March,Thursday,19
Tammie Alabone,12/8/2013,12/8/2022,December,Thursday,20
Emmie Laba,4/7/2013,4/7/2022,April,Thursday,11
Blinny Upwood,3/15/2013,3/15/2022,March,Tuesday,13
